ABANICO,1,0,1
ABATIDO,0,1,0
ABDALAH,0,0,2
ABDICAR,0,1,0
ABDOMEN,0,1,0
ABIERTA,2,0,5
ABIERTO,0,2,5
ABOGADO,2,0,0
ABONARE,0,0,1
ABRAZAR,0,1,0
ABRAZOS,1,0,1
ABREVIA,0,0,1
ABRIERA,0,1,0
ABRIRAS,0,0,1
ABRIRLA,0,1,1
ABRIRLO,0,0,1
ABRIRSE,0,2,1
ABSORBI,0,0,1
ABSORTO,1,0,0
ABSURDO,1,2,0
ABUELOS,1,0,0
ABUNDAN,0,0,1
ABUSADO,0,1,0
ACABABA,4,6,4
ACABADO,1,1,2
ACABAIS,0,0,1
ACABARA,1,4,2
ACABARE,0,1,0
ACABASE,1,0,1
ACARREO,0,0,1
ACCEDER,0,2,0
ACCESOS,0,0,2
ACEPTAN,0,0,1
ACEPTAR,1,0,2
ACEQUIA,6,0,0
ACERQUE,0,0,1
ACIERTA,0,1,0
ACIERTO,0,1,0
ACOGIAN,0,1,0
ACOGIDA,0,0,7
ACOLITO,1,0,0
ACOMETE,0,1,0
ACOSADO,1,0,0
ACTITUD,1,17,0
ACTORES,0,1,0
ACUDIAN,3,2,0
ACUDIRE,0,0,1
ACUERDA,1,2,0
ACUERDE,0,1,1
ACUERDO,0,2,1
ACUESTA,0,0,1
ADENTRO,4,0,1
ADIVINA,1,0,2
ADIVINO,1,2,0
ADMIRAR,0,0,1
ADMITEN,1,0,0
ADOPTAR,0,4,0
ADORABA,2,1,0
ADORADA,0,4,0
ADORADO,0,1,1
ADORNAR,0,0,1
ADORNOS,1,2,0
ADUANAS,1,1,0
ADUARES,0,0,1
ADVERTI,0,0,5
AFECTOS,0,1,0
AFICION,1,5,1
AFILADO,0,0,1
AFINADO,0,0,2
AFIRMAR,1,1,0
AFIRMAS,0,0,2
AFLIGIA,0,0,1
AFLIGIO,0,0,2
AFLUIAN,1,0,1
AFSANAH,0,0,1
AFUERAS,8,0,0
AGALLAS,2,0,0
AGENTES,0,7,0
AGITABA,1,2,0
AGITADA,1,0,0
AGITADO,0,2,0
AGONICE,0,1,0
AGOTADO,0,0,2
AGRADAR,0,1,0
AGRESOR,1,0,0
AGUANTE,2,0,0
AGUARDA,0,1,0
AGUARDE,0,0,1
AGUARDO,0,1,2
AGUIJON,0,1,0
AHOGADA,1,0,0
AHOGADO,1,0,1
AHORCAR,0,1,1
AHORQUE,0,2,0
AHORROS,2,0,0
AHUMADA,1,0,0
AISLADO,0,1,0
AJEDREZ,0,0,1
AJORCAS,0,0,1
AJUSTAR,1,1,0
AKNAMUS,0,0,2
ALABADA,0,1,0
ALABADO,0,1,0
ALADINO,0,0,1
ALAMEDA,0,1,0
ALARCON,0,0,1
ALARGUE,0,0,1
ALARIDO,1,0,0
ALBERGA,0,1,1
ALCALDE,7,1,0
ALCANCE,1,1,2
ALCANZA,0,2,0
ALCANZO,0,0,1
ALCAZAR,1,2,0
ALCOHOL,0,1,0
ALEGABA,0,1,0
ALEGRES,5,3,1
ALEGRIA,1,15,22
ALEJABA,1,0,1
ALEJADO,0,1,2
ALEJALE,0,0,1
ALEJARA,0,1,0
ALFANJE,0,0,11
ALFONSO,0,1,0
ALFREDO,0,0,1
ALGODON,1,0,0
ALGUIEN,9,5,9
ALGUNAS,7,23,8
ALGUNOS,19,34,11
ALIADOS,0,0,1
ALIANZA,0,2,0
ALIENTO,1,0,1
ALIMAÑA,1,0,0
ALISATE,0,0,1
ALMACEN,0,1,0
ALMANSA,0,2,0
ALQUILO,0,0,1
ALTARES,1,0,0
ALTERAN,0,1,0
ALTIVEZ,1,1,0
ALTURAS,2,2,0
ALVAREZ,0,14,0
ALZANDO,0,0,1
AMABLES,0,2,1
AMANTES,0,4,1
AMARGAS,0,0,1
AMARGOS,0,0,1
AMASADO,1,0,0
AMENAZA,3,2,1
AMERICA,1,2,3
AMIGOTE,1,0,0
AMISTAD,0,2,3
AMORIOS,1,0,0
AMOROSA,0,7,0
AMOROSO,0,2,1
AMPLIAS,0,1,1
AMPLIOS,1,0,0
ANCHURA,0,1,1
ANCIANA,0,0,3
ANCIANO,1,1,16
ANDABAN,1,1,0
ANDAMIO,2,0,0
ANDANDO,0,0,7
ANDANTE,1,0,0
ANDARIA,0,1,0
ANDRAJO,0,1,0
ANGELES,1,0,0
ANGOSTA,1,2,0
ANGOSTO,1,0,0
ANGULOS,1,0,0
ANHELAR,0,0,1
ANHELOS,0,0,1
ANILLOS,0,0,1
ANIMABA,1,2,0
ANIMADA,0,1,0
ANIMADO,3,0,0
ANIMOSO,0,0,2
ANONADO,1,0,0
ANONIMO,1,0,1
ANORMAL,0,2,0
ANOTABA,0,1,0
